P,mean_seconds,throughput_Msqrt_per_s
1,0.14264919996882477,350.5102027275809
2,0.15718906663823873,636.1765620133368
4,0.1841910999889175,1085.8287941818778
6,0.20473649996953705,1465.2980784795934
8,0.22561550000682473,1772.9278351349985
10,0.253660733345896,1971.1367755063281
12,0.2810739666844408,2134.6694148790184
14,0.326543499987262,2143.665392290173
16,0.3932100666376452,2034.535908098263
24,0.5749041000381112,2087.3046477150715
32,0.7501876333650822,2132.7997541401123
64,1.4613610666710883,2189.739464791853
