variant,P,trial,pi,abs_error,time_ms
serial,1,1,3.141592653590,2.887e-14,10.623
serial,1,2,3.141592653590,2.887e-14,11.008
serial,1,3,3.141592653590,2.887e-14,10.506
serial,1,4,3.141592653590,2.887e-14,11.455
serial,1,5,3.141592653590,2.887e-14,11.344
serial,1,6,3.141592653590,2.887e-14,11.815
serial,1,7,3.141592653590,2.887e-14,11.166
serial,1,8,3.141592653590,2.887e-14,11.082
serial,1,9,3.141592653590,2.887e-14,11.073
serial,1,10,3.141592653590,2.887e-14,11.712
critical,1,1,3.141592653590,2.887e-14,10.419
critical,1,2,3.141592653590,2.887e-14,10.389
critical,1,3,3.141592653590,2.887e-14,9.857
critical,1,4,3.141592653590,2.887e-14,13.099
critical,1,5,3.141592653590,2.887e-14,11.621
critical,1,6,3.141592653590,2.887e-14,11.110
critical,1,7,3.141592653590,2.887e-14,10.271
critical,1,8,3.141592653590,2.887e-14,45.595
critical,1,9,3.141592653590,2.887e-14,48.207
critical,1,10,3.141592653590,2.887e-14,17.828
critical,2,1,3.141592653590,1.221e-13,19.964
critical,2,2,3.141592653590,3.819e-14,16.878
critical,2,3,3.141592653590,3.553e-14,16.925
critical,2,4,3.141592653590,6.795e-14,16.028
critical,2,5,3.141592653590,8.882e-14,15.851
critical,2,6,3.141592653590,2.531e-14,14.561
critical,2,7,3.141592653590,1.399e-13,14.078
critical,2,8,3.141592653590,4.574e-14,14.865
critical,2,9,3.141592653590,5.240e-14,15.328
critical,2,10,3.141592653590,7.327e-14,16.276
critical,4,1,3.141592653590,9.814e-14,22.868
critical,4,2,3.141592653590,5.596e-14,20.763
critical,4,3,3.141592653590,1.354e-13,18.634
critical,4,4,3.141592653590,4.929e-14,24.122
critical,4,5,3.141592653590,3.908e-14,26.515
critical,4,6,3.141592653590,1.021e-14,31.191
critical,4,7,3.141592653590,1.643e-14,19.187
critical,4,8,3.141592653590,4.441e-14,25.226
critical,4,9,3.141592653590,7.105e-14,27.346
critical,4,10,3.141592653590,8.438e-15,35.059
critical,8,1,3.141592653590,1.159e-13,29.032
critical,8,2,3.141592653590,7.327e-14,21.347
critical,8,3,3.141592653590,8.127e-14,22.644
critical,8,4,3.141592653590,5.729e-14,23.166
critical,8,5,3.141592653590,8.571e-14,22.729
critical,8,6,3.141592653590,1.719e-13,33.382
critical,8,7,3.141592653590,1.266e-13,35.729
critical,8,8,3.141592653590,9.015e-14,41.887
critical,8,9,3.141592653590,6.706e-14,23.618
critical,8,10,3.141592653590,8.038e-14,39.636
