variant,P,trial,pi,abs_error,time_ms
race,1,1,3.141592653590,6.333e-13,1444.158
race,1,2,3.141592653590,6.333e-13,1369.831
race,1,3,3.141592653590,6.333e-13,1338.549
race,1,4,3.141592653590,6.333e-13,1517.528
race,1,5,3.141592653590,6.333e-13,1797.449
race,2,1,1.287199417587,1.854e+00,1100.902
race,2,2,1.854590436003,1.287e+00,1056.890
race,2,3,1.287199417587,1.854e+00,1031.789
race,2,4,1.287327417586,1.854e+00,1035.083
race,2,5,1.290549176657,1.851e+00,1024.237
race,4,1,0.721936925460,2.420e+00,530.066
race,4,2,0.720190956189,2.421e+00,527.886
race,4,3,0.720503679143,2.421e+00,791.228
race,4,4,0.874989783495,2.267e+00,815.969
race,4,5,0.874675783496,2.267e+00,526.379
race,8,1,0.279015087191,2.863e+00,518.351
race,8,2,0.387384496306,2.754e+00,589.968
race,8,3,0.455894254018,2.686e+00,531.194
race,8,4,0.497419978187,2.644e+00,513.456
race,8,5,0.277777514895,2.864e+00,537.720
